Latitude	Longitude	Geoidal_height
61.692925931	5.195794929	43.702025524
61.930856319	5.127647038	43.819706785
61.916942146	5.171721831	43.768083675
61.920768428	5.216993401	43.718326745
61.596128617	5.093323519	43.799856608
61.597625752	5.045869751	43.852761306
61.337195972	5.071943547	43.783415428
61.077953066	5.207169642	43.598460555
61.049334860	5.180107989	43.624802393
61.003204554	5.188743180	43.609629741
60.967089038	5.185372322	43.609058709
60.801637602	5.015410482	43.777615405
60.888049363	5.117953204	43.674317552
60.929409459	5.134074575	43.661260065
60.849954579	5.078716299	43.713276092
60.731992119	5.183754170	43.585444888
60.777632662	5.077527130	43.706848467
60.496568134	5.184308825	43.564042072
60.510413795	5.204524316	43.542975910
60.345081446	5.177885883	43.560256531
60.359380371	5.130321246	43.613137123
60.405518341	4.995676497	43.763278415
60.477084292	4.947201171	43.821689247
60.480515517	5.207892523	43.536966172
60.328449694	5.075285652	43.671130089
60.137828941	5.074722539	43.660965502
60.117275441	5.150975630	43.577197192
60.296562242	5.082968886	43.660724378
60.275638122	5.077759773	43.665115278
59.795830561	5.175552130	43.541560981
59.804297096	5.171361438	43.546187958
59.832031491	5.146440622	43.573489901
59.209656587	5.186045147	43.541198491
59.237701910	5.195414378	43.529885787
59.172836667	5.194684827	43.533937170
62.353062473	5.941486593	42.988406213
62.471797704	6.156327870	42.769919988
62.405906743	6.102211935	42.817585756
62.361404415	6.077199434	42.836833229
62.394852633	6.165545797	42.743692441
62.476389650	6.198535982	42.723096751
62.335004786	6.067990686	42.841931713
62.343044757	5.840101895	43.100695255
62.181810173	6.082978768	42.794922195
62.198648792	6.126864361	42.748561684
62.228348444	6.010203785	42.886120307
62.248664170	5.975082723	42.929733712
62.229505120	5.725006097	43.207702507
62.026815340	6.042305460	42.811767955
62.035201266	5.529632731	43.389913866
62.061272831	5.524299187	43.400765671
62.105443512	5.641060666	43.278120667
62.279758657	5.793669840	43.140344877
62.161826688	6.034806646	42.845503757
62.090510225	6.087815166	42.772163177
62.288189405	5.734885059	43.208173116
62.271702669	5.989997119	42.917432349
62.103593586	5.435689365	43.508018103
62.136188443	5.677296231	43.243274792
62.131229062	6.074788493	42.794532492
62.106539438	6.062909329	42.803295212
62.136183405	5.964754549	42.919673661
62.095378381	5.546079763	43.382782089
62.052900144	5.621701608	43.289964466
62.182544447	6.069294159	42.810523942
62.323400964	6.152728398	42.743797264
62.002784541	5.849283610	43.024926964
62.067739183	6.069736226	42.788343678
