Latitude	Longitude	Geoidal_height
61.692925931	5.195794929	43.669850262
61.930856319	5.127647038	43.897826480
61.916942146	5.171721831	43.831095696
61.920768428	5.216993401	43.773088414
61.596128617	5.093323519	43.751147873
61.597625752	5.045869751	43.814990946
61.337195972	5.071943547	43.635817810
61.077953066	5.207169642	43.318282326
61.049334860	5.180107989	43.339249590
61.003204554	5.188743180	43.303999374
60.967089038	5.185372322	43.289958879
60.801637602	5.015410482	43.431023346
60.888049363	5.117953204	43.338989395
60.929409459	5.134074575	43.338604477
60.849954579	5.078716299	43.371653125
60.731992119	5.183754170	43.174937928
60.777632662	5.077527130	43.337305258
60.496568134	5.184308825	43.063024434
60.510413795	5.204524316	43.042820597
60.345081446	5.177885883	43.003418416
60.359380371	5.130321246	43.072003579
60.405518341	4.995676497	43.268855182
60.477084292	4.947201171	43.364996861
60.480515517	5.207892523	43.024711066
60.328449694	5.075285652	43.130350946
60.137828941	5.074722539	43.049511708
60.117275441	5.150975630	42.941729980
60.296562242	5.082968886	43.106336903
60.275638122	5.077759773	43.104045683
59.795830561	5.175552130	42.785440534
59.804297096	5.171361438	42.793935229
59.832031491	5.146440622	42.836324586
59.209656587	5.186045147	42.586360686
59.237701910	5.195414378	42.582067260
59.172836667	5.194684827	42.565667924
62.353062473	5.941486593	43.061704973
62.471797704	6.156327870	42.845475981
62.405906743	6.102211935	42.878000614
62.361404415	6.077199434	42.884568489
62.394852633	6.165545797	42.786154735
62.476389650	6.198535982	42.791551226
62.335004786	6.067990686	42.880943426
62.343044757	5.840101895	43.191581297
62.181810173	6.082978768	42.768610189
62.198648792	6.126864361	42.719686519
62.228348444	6.010203785	42.894273749
62.248664170	5.975082723	42.953634494
62.229505120	5.725006097	43.277407736
62.026815340	6.042305460	42.731248098
62.035201266	5.529632731	43.423235620
62.061272831	5.524299187	43.445747149
62.105443512	5.641060666	43.315786266
62.279758657	5.793669840	43.215625232
62.161826688	6.034806646	42.821408029
62.090510225	6.087815166	42.707732522
62.288189405	5.734885059	43.299423338
62.271702669	5.989997119	42.947471187
62.103593586	5.435689365	43.589112404
62.136188443	5.677296231	43.285560137
62.131229062	6.074788493	42.749438552
62.106539438	6.062909329	42.750724559
62.136183405	5.964754549	42.900208470
62.095378381	5.546079763	43.436821121
62.052900144	5.621701608	43.310587343
62.182544447	6.069294159	42.787442538
62.323400964	6.152728398	42.760029948
62.002784541	5.849283610	42.976233121
62.067739183	6.069736226	42.718546741
61.998614462	5.515088363	43.421137563
61.909794083	5.253240469	43.718433306
61.915885113	5.627283957	43.222728154
61.926442108	5.459367279	43.453295472
61.768331197	5.282544254	43.597536830
61.750306557	5.940484124	42.707491369
61.773260748	6.196189668	42.377033691
61.869329407	5.728781243	43.059808825
61.925505367	5.517307164	43.375366214
61.914298881	5.948789100	42.790938680
61.917235491	5.770830883	43.031327841
61.943049916	5.455864674	43.467671162
61.830701057	5.449035108	43.411482053
61.948332507	6.134278597	42.561540674
61.844167436	6.019249285	42.655646379
61.921302740	5.896933988	42.864614141
61.611829465	5.287899642	43.501279460
61.641184408	5.288461333	43.517124293
61.508457974	5.220382677	43.533146591
61.591019873	5.432754791	43.296541543
61.514586307	6.166103676	42.272253844
61.363869629	5.379283521	43.242078440
61.340438723	6.093340199	42.275362138
61.490820360	5.506775768	43.141903092
61.491186974	5.802561811	42.746849111
61.425534594	6.094499634	42.319685178
61.520034817	5.724274250	42.867550029
61.568537837	5.640485245	43.006588977
61.371610124	5.475397843	43.118286106
61.361892313	5.564138746	42.994694564
61.352969744	5.710242552	42.794835616
61.446160037	5.822398068	42.695558352
61.455411694	5.870345725	42.636438375
61.338984457	6.093472705	42.274406428
61.464332155	5.562358514	43.053097725
61.459619424	5.246880538	43.470793439
61.508011776	5.712019780	42.877277757
61.591052260	5.432719360	43.296606994
61.666992143	5.781711953	42.872990191
61.411133844	5.817149055	42.683458911
61.360219230	5.663779558	42.860811249
61.370308335	5.791323486	42.695843733
61.432290455	5.899154916	42.585217840
61.630245279	5.714915102	42.941670581
61.489434111	5.392111431	43.294005038
61.535405396	5.760407798	42.827739210
61.184457843	5.312284275	43.234792820
61.066237553	5.280882257	43.214490861
61.188692597	5.815699561	42.566573098
61.165512199	6.205133628	42.033565396
61.042845551	5.324322222	43.144783476
61.102181078	5.347810546	43.144389758
61.030103403	5.486795569	42.922566197
61.208834754	5.818434589	42.573484415
61.140816462	5.638876757	42.777428071
61.159869828	5.880277217	42.465286261
61.137075489	5.340105469	43.172870867
61.168169451	5.967111986	42.353544390
61.074632027	5.424810167	43.027833711
61.064963127	5.520951637	42.895077820
61.083656231	5.610073745	42.786151710
61.118512503	5.568248173	42.859873124
61.098760498	5.493938567	42.948469794
61.032927562	5.365290364	43.085330495
61.324536937	5.784691649	42.680039073
61.322386098	5.793069326	42.667686495
61.229739781	6.081283364	42.232883341
61.064215067	5.566622633	42.833956089
61.056546353	5.509800728	42.905568627
61.027540011	5.461423741	42.954954950
61.164648669	5.738231005	42.657401743
61.324556308	5.784661637	42.680089588
61.113300287	5.284105205	43.234737974
61.232424628	5.822178863	42.580904891
60.978336560	5.486806206	42.896177446
60.933920480	5.497229466	42.859938950
60.877690443	5.593381960	42.704308356
60.728419090	5.648010450	42.559435611
60.834501443	5.607889576	42.663823745
60.832454893	5.524191440	42.773830344
60.513348870	5.246594975	42.988868938
60.459256482	5.274780569	42.927198145
60.470683878	5.356780263	42.824555201
60.492723063	5.262427976	42.958618430
60.501073667	5.262553936	42.962264979
60.453680283	5.460433112	42.680531866
60.521538157	5.318704035	42.897769594
60.385954100	5.219373145	42.967109117
60.368618275	6.105473616	41.792660120
60.380009700	6.202433004	41.669140326
60.346439806	6.208694455	41.646963625
60.614176931	5.836730654	42.255981242
60.555814327	5.748454171	42.346316422
60.391786644	5.907770372	42.063680323
60.386475353	5.767537967	42.246467856
60.387366925	5.656690590	42.392951789
60.543140072	5.264338975	42.979249630
60.530356277	5.256638336	42.983481583
60.519924149	5.273430936	42.956595595
60.401078679	5.315501946	42.847686155
60.377153840	5.760382689	42.251906973
60.480696954	5.733489909	42.332483081
60.518529649	5.275438875	42.953314430
60.582195243	5.797863592	42.292884338
60.650128124	6.116959162	41.900420894
60.626041575	5.481545802	42.731416914
60.430442416	5.627046285	42.450776456
60.363398765	6.077952293	41.826864579
60.638795654	5.958686243	42.105496810
60.665310441	5.485314802	42.744872397
60.603369178	5.446296010	42.767389039
60.121463706	5.903944704	41.958746851
60.308312873	5.411882470	42.680763066
60.243888525	5.740079005	42.222781791
60.010051531	5.810914216	42.038288558
60.053559911	6.019182608	41.781743345
60.263613774	5.308519376	42.797140065
60.287943480	5.285498075	42.837677444
60.184427841	5.462923446	42.561942191
60.266159950	5.428686428	42.640798889
60.324650550	6.195137003	41.655960359
60.075579805	5.269526484	42.770392074
60.212176731	5.837593221	42.081718934
60.060103257	5.922241274	41.911305428
60.237128657	5.832522022	42.098478066
60.068170262	5.974261993	41.846136696
60.245113392	5.800112735	42.144355146
60.274683720	5.664976864	42.334217374
60.324192584	5.359124734	42.756796591
60.041636723	5.521552881	42.428357271
60.010802790	5.265133109	42.750451507
60.288741997	5.266541917	42.862840833
60.198343224	5.450503916	42.583920538
60.224787529	5.371514824	42.698301686
60.194114733	5.426037460	42.614202731
60.274418149	6.152396344	41.692058077
60.287565183	6.177710594	41.663930642
60.243888525	5.740079005	42.222781791
59.984952493	6.012704328	41.765015431
59.928781876	5.803597517	42.018024930
59.752720335	5.951227748	41.765182772
59.759317980	6.128737587	41.536363178
59.787780879	6.177851104	41.481547528
59.686461658	5.484596695	42.348032636
59.673837240	5.463938087	42.370499628
59.956813970	5.326580979	42.649682581
59.750679635	5.489357948	42.363665152
59.775872852	5.394870784	42.494725453
59.823636421	5.520275464	42.349092049
59.781618266	5.902298569	41.838344661
59.832746257	5.773608736	42.023131040
59.702641650	5.817150539	41.922962896
59.672885068	5.912905971	41.789316743
59.704821363	6.076964591	41.586415072
59.777410568	5.251862343	42.680207037
59.740632230	5.325210323	42.572445483
59.910553730	5.497653843	42.409916092
59.873121889	5.525550777	42.359974064
59.741000623	5.230616309	42.694715171
59.943270466	5.516783810	42.397161323
59.995938123	5.493469876	42.447406523
59.690241432	6.019066080	41.657044625
59.725034888	6.121059915	41.535445718
59.836545968	5.749968327	42.055205621
59.485245543	6.214236969	41.344489484
59.577761391	5.420502037	42.395141748
59.438284559	5.277450747	42.535270645
59.424973304	5.260777420	42.552567951
59.440731125	5.246399886	42.575714759
59.434151759	5.289016102	42.519233745
59.372347437	5.289839955	42.499877137
59.386565693	5.324909419	42.459252931
59.404906882	5.249569829	42.560872213
59.414709207	5.317963441	42.476410218
59.405167996	5.336192125	42.450290728
59.603678388	5.834807491	41.868920869
59.660911676	5.951725886	41.735242133
59.602088628	5.785826869	41.931734160
59.497872298	5.323852471	42.494118227
59.420744782	5.447729858	42.312187738
59.508588123	5.617471455	42.120359010
59.522108208	5.651751188	42.080308349
59.489778336	5.549105412	42.202599156
59.494464161	6.143397982	41.438482798
59.575273620	5.807343330	41.895752462
59.427304288	5.621636150	42.091237889
59.447096974	5.623335993	42.094738812
59.481404723	6.037832580	41.571121931
59.498483033	5.895848695	41.758981524
59.546674873	5.895130364	41.773877673
59.541469204	5.847375192	41.833976489
59.491971064	5.737642465	41.960851884
59.575358598	5.704321009	42.028739160
59.476205669	5.687279341	42.021037980
59.017502724	5.598702797	42.018072657
59.017706163	5.598690572	42.018131485
59.286224169	5.286159180	42.480124326
59.320968394	5.289867539	42.485113745
59.224753793	6.210593877	41.285244573
59.152456955	6.160585592	41.333550362
59.102506036	6.170079826	41.311224452
58.942408639	6.023214129	41.467353384
58.812026701	6.000278536	41.474827454
58.961851475	5.769003148	41.791831704
58.906713052	6.068186988	41.404456580
58.984504791	5.699541446	41.883948937
58.739041786	5.647376135	41.905238902
58.765016104	5.842532168	41.665415854
58.725639702	5.671879331	41.872584345
58.931257099	5.721813381	41.845426628
58.781848363	5.836303274	41.675797054
58.766586902	5.876983228	41.622537264
58.835963462	6.069431864	41.391576534
58.771454200	5.859163452	41.645578679
58.894916455	6.053494963	41.421025441
58.996709548	6.036248779	41.460715233
58.822124252	5.715867014	41.833217755
58.520199219	6.095928735	41.320547808
58.463818445	5.999257200	41.435376035
58.480133265	5.878560802	41.585805539
58.518444770	5.803398993	41.682433360
58.614585069	5.647708710	41.886684790
58.566996924	5.697540636	41.818874103
58.533949966	6.148394063	41.256692604
62.781929236	6.982240935	41.924620132
62.836655325	7.039679001	41.881500385
62.732383972	7.093880411	41.742549911
62.737904711	7.158507800	41.658586876
62.754874455	6.997870083	41.886493099
62.848013689	7.175937786	41.704499929
62.724772641	6.983624264	41.886853368
62.632036592	6.834602874	42.030286271
62.447378489	6.358281217	42.558857049
62.409163137	6.252658139	42.677703251
62.427314070	6.317706935	42.601226716
62.556805909	7.133292363	41.579473462
62.581857039	7.144470749	41.579914705
62.348383254	6.806638584	41.893318284
62.625033846	7.143785717	41.607763120
62.596931612	6.902400498	41.916831349
62.618720339	7.092747137	41.672915177
62.624235529	7.032130051	41.758383576
62.615099932	6.952967225	41.859764926
62.627372395	7.087138764	41.685904579
62.496019055	6.701810779	42.125427694
62.390780447	6.570382011	42.238334646
62.427858858	6.780437316	41.977313753
62.486891978	6.535044703	42.344867132
62.446860649	6.747217918	42.033864604
62.361447810	6.265998998	42.630715969
62.373561582	6.314693158	42.572525401
62.463029526	6.833280434	41.927477608
62.476354158	6.763459871	42.030045221
62.381388686	7.016726676	41.629168486
62.492148101	6.873393864	41.891173252
62.479020616	6.706939870	42.108038355
62.351123607	6.836275716	41.854906429
62.536432901	6.572047638	42.325459927
62.627997282	7.160733230	41.586667082
62.545355826	7.149146733	41.550888703
62.530498904	7.128149529	41.570110929
62.570881996	7.083196687	41.656052756
62.578304955	6.916496566	41.886203090
62.622418585	6.998638855	41.802556720
62.484722615	6.486599275	42.408853962
62.503128709	6.718881884	42.106753245
62.509111759	6.686003136	42.154839121
62.417584160	6.946311153	41.746666885
62.384045389	6.982011254	41.677798281
62.367266390	7.086428684	41.526121341
62.482396413	6.825331647	41.950144667
62.478702107	6.453834787	42.449319972
62.468110908	6.371897551	42.553211765
62.407383194	6.549275690	42.276952972
62.464035353	6.241006952	42.726881493
62.293774122	6.878867460	41.762424040
62.306461891	6.612816260	42.129761404
62.205808197	6.476737570	42.252714694
62.023754501	6.747347037	41.778919604
62.311230994	7.056389206	41.532662344
62.286221865	7.217647146	41.298892486
62.269728075	6.882036815	41.743572407
62.333667733	7.083919642	41.509017139
62.088510846	6.862877444	41.660911242
62.062768530	6.324357808	42.372926446
62.123294905	6.920739202	41.603268838
62.095954098	7.207116001	41.198945706
62.144982864	6.292048592	42.465290810
62.193251901	6.411725220	42.332866745
61.912053552	6.748685495	41.711799264
61.739823612	6.507575951	41.938516694
61.863754570	6.581151808	41.910181755
61.882052246	6.710117311	41.746549519
61.864075889	6.756864897	41.672980917
61.898177190	7.105899193	41.220247503
61.999395442	6.610724744	41.949230580
61.719241053	6.521296267	41.908344992
61.766669348	6.221425132	42.339313819
61.800848918	6.810887528	41.563647290
61.754282424	6.278728263	42.255121071
61.933146590	6.522468869	42.029641102
61.921209469	7.025157966	41.342979249
61.804171917	6.524285478	41.952669998
61.868013307	6.866210945	41.527372163
61.580522777	6.492720329	41.869192390
61.555553748	6.363881169	42.028900260
61.423851524	6.770796871	41.408812800
61.382801329	6.235037080	42.107942893
61.334671360	6.284861770	42.015277541
61.344985104	6.923804014	41.160483042
61.435931288	6.777670663	41.406023886
61.161526092	6.911055963	41.083055062
61.303607647	7.215064663	40.745601222
61.261161454	7.161641842	40.795870811
61.160279410	6.544946256	41.574926317
61.204159587	6.660272468	41.442350163
61.172487897	6.651763478	41.437580003
61.182876572	6.712960176	41.360567045
61.187911791	7.020702839	40.948656704
61.206098095	7.164027785	40.764560817
61.181995066	6.779527270	41.270535463
61.252695864	7.033893189	40.963936138
61.059342607	6.543995844	41.525274124
61.311988926	6.573384081	41.615363066
61.112747958	6.429292928	41.706030407
61.190532322	6.232647890	42.009622713
61.277522738	6.507166293	41.686341289
61.121894283	6.340029123	41.830399419
61.297491832	7.007281391	41.023000325
61.207105830	6.600626317	41.524089177
61.134240675	6.270254771	41.930234367
61.237905681	7.098337748	40.869398938
61.178760978	6.853143450	41.169778679
61.067283910	6.538684804	41.536365626
61.223407115	7.105610428	40.852182413
61.216727360	6.558837749	41.585239431
61.328982304	7.212713836	40.761953099
61.292271451	7.163831192	40.808944043
