n,m,r,q
0,0,8.837018040635898e-13,0.0
1,0,3.007531806496417e-13,0.0
1,1,2.4185466596829727e-12,1.8156104639732133e-13
2,0,1.2327113101743864e-13,0.0
2,1,9.913011776420045e-13,7.441728626032445e-14
2,2,-7.570566126272464e-14,-2.9052520612085883e-13
3,0,1.0173506623876468e-13,0.0
3,1,8.181160514841704e-13,6.141622523064385e-14
3,2,-6.247951486810982e-14,-2.397690427984723e-13
3,3,2.74834147302506e-13,-2.690681237420377e-13
4,0,8.519669808463737e-14,0.0
4,1,6.851205667169856e-13,5.1432213020759797e-14
4,2,-5.232265099430086e-14,-2.0079144295637493e-13
4,3,2.3015625522990446e-13,-2.2532757435720311e-13
4,4,-1.768307604087048e-15,9.466399523222996e-14
5,0,7.200730890627845e-14,0.0
5,1,5.790563413223447e-13,4.3469938788474946e-14
5,2,-4.422252713595943e-14,-1.6970671145416394e-13
5,3,1.945255266886971e-13,-1.9044437890917838e-13
5,4,-1.4945540701861716e-15,8.000896396498729e-14
5,5,5.1011041797456634e-14,4.4158167219528706e-14
6,0,6.189329034094735e-14,0.0
6,1,4.977231173001892e-13,3.736422848464066e-14
6,2,-3.8011109611092674e-14,-1.4587000853637103e-13
6,3,1.672028171159644e-13,-1.6369490009644584e-13
6,4,-1.2846316631090184e-15,6.877104715868053e-14
6,5,4.384612157459613e-14,3.795578957407878e-14
6,6,-1.639577573549222e-14,-1.388034423249586e-14
7,0,5.412056993227524e-14,0.0
7,1,4.3521775346517505e-13,3.267193147317096e-14
7,2,-3.323757558498276e-14,-1.2755127340178535e-13
7,3,1.4620505238531922e-13,-1.4313766871051932e-13
7,4,-1.1233042770471413e-15,6.01346001572131e-14
7,5,3.8339811567055414e-14,3.3189202782125226e-14
7,6,-1.433675156706859e-14,-1.2137214495799051e-14
7,7,1.6315975306428603e-14,9.994769350240711e-15
8,0,4.8035637141748623e-14,0.0
8,1,3.862849579976932e-13,2.899853137040566e-14
8,2,-2.950057847265087e-14,-1.1321031344945693e-13
8,3,1.2976679390959792e-13,-1.2704428508602876e-13
8,4,-9.970079162051116e-16,5.3373492489652925e-14
8,5,3.402915525137128e-14,2.9457644364445777e-14
8,6,-1.2724828968521373e-14,-1.07725922354725e-14
8,7,1.4481522837141088e-14,8.871028417188174e-15
8,8,2.1289700986268895e-14,6.792609918309462e-14
9,0,4.316773997852041e-14,0.0
9,1,3.4713911622014314e-13,2.6059840910669967e-14
9,2,-2.651101091811128e-14,-1.0173766113379063e-13
9,3,1.1661631968793434e-13,-1.1416970796426224e-13
9,4,-8.959718459914655e-16,4.7964660877504857e-14
9,5,3.058066496016552e-14,2.647242772177024e-14
9,6,-1.1435303888305596e-14,-9.680905431591337e-15
9,7,1.3013975654824741e-14,7.972044732647517e-15
9,8,1.9132217892389762e-14,6.104251680139734e-14
